epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,4,,0.15625,,1.6104977130889893
0,9,,0.3125,,1.5839533805847168
0,14,,0.28125,,1.5727577209472656
0,19,,0.28125,,1.570513367652893
0,24,,0.40625,,1.5201811790466309
0,29,,0.375,,1.5389673709869385
0,34,,0.5625,,1.473387360572815
0,39,,0.4375,,1.4678257703781128
0,44,,0.5625,,1.4243241548538208
0,49,,0.3125,,1.4479554891586304
0,54,,0.53125,,1.4241256713867188
0,59,,0.5625,,1.3606164455413818
0,62,0.40049999952316284,,1.5025410652160645,
1,64,,0.4375,,1.2755115032196045
1,69,,0.6875,,1.1983221769332886
1,74,,0.625,,1.2037538290023804
1,79,,0.78125,,1.0732414722442627
1,84,,0.75,,0.9998599886894226
1,89,,0.65625,,0.9986554384231567
1,94,,0.84375,,0.8179476261138916
1,99,,0.6875,,1.0502947568893433
1,104,,0.6875,,0.8752998113632202
1,109,,0.625,,0.9100637435913086
1,114,,0.8125,,0.7358360290527344
1,119,,0.71875,,0.9323130249977112
1,124,,0.78125,,0.8846895098686218
1,125,0.6940000057220459,,1.0137351751327515,
2,129,,0.90625,,0.6918928623199463
2,134,,0.875,,0.5795378684997559
2,139,,0.78125,,0.544431746006012
2,144,,0.8125,,0.4920763075351715
2,149,,0.75,,0.749815821647644
2,154,,0.8125,,0.5743470191955566
2,159,,0.9375,,0.40834569931030273
2,164,,0.6875,,0.7641167640686035
2,169,,0.78125,,0.5835713148117065
2,174,,0.71875,,0.7677736282348633
2,179,,0.90625,,0.4195247292518616
2,184,,0.90625,,0.48122286796569824
2,188,0.8274999856948853,,0.620576798915863,
3,189,,0.75,,0.5337799787521362
3,194,,0.84375,,0.4545351564884186
3,199,,0.78125,,0.5299373865127563
3,204,,0.875,,0.47399213910102844
3,209,,0.75,,0.9579389095306396
3,214,,0.84375,,0.49105292558670044
3,219,,0.75,,0.7257934212684631
3,224,,0.8125,,0.7549279928207397
3,229,,0.90625,,0.36980533599853516
3,234,,0.8125,,0.6180304288864136
3,239,,0.875,,0.5208669900894165
3,244,,0.84375,,0.43001049757003784
3,249,,0.875,,0.5725997686386108
3,251,0.8575000166893005,,0.4976186454296112,
4,254,,0.875,,0.6158828735351562
4,259,,0.9375,,0.38482484221458435
4,264,,0.8125,,0.7313288450241089
4,269,,0.84375,,0.7769601941108704
4,274,,0.84375,,0.7251074910163879
4,279,,0.8125,,0.41145890951156616
4,284,,0.84375,,0.33739417791366577
4,289,,0.84375,,0.38518857955932617
4,294,,0.90625,,0.39639613032341003
4,299,,0.84375,,0.4578767418861389
4,304,,0.875,,0.48575007915496826
4,309,,0.90625,,0.4662502408027649
4,314,,0.8125,,0.6666712164878845
4,314,0.8865000009536743,,0.4440614879131317,
5,319,,0.90625,,0.42217373847961426
5,324,,0.90625,,0.3647014796733856
5,329,,0.9375,,0.22297751903533936
5,334,,0.90625,,0.4366217851638794
5,339,,0.8125,,0.8436166644096375
5,344,,0.96875,,0.2604178786277771
5,349,,0.96875,,0.2802946865558624
5,354,,0.90625,,0.30227288603782654
5,359,,0.90625,,0.42555317282676697
5,364,,0.9375,,0.21660588681697845
5,369,,0.875,,0.7394944429397583
5,374,,0.9375,,0.25123974680900574
5,377,0.8980000019073486,,0.406777024269104,
6,379,,0.9375,,0.33677172660827637
6,384,,0.875,,0.5544824600219727
6,389,,0.9375,,0.29465386271476746
6,394,,0.875,,0.6071888208389282
6,399,,0.96875,,0.21010257303714752
6,404,,0.875,,0.4004706144332886
6,409,,0.9375,,0.19380953907966614
6,414,,0.875,,0.7001112699508667
6,419,,0.96875,,0.16680791974067688
6,424,,0.875,,0.471263587474823
6,429,,1.0,,0.17353811860084534
6,434,,0.9375,,0.33203473687171936
6,439,,0.9375,,0.3329004645347595
6,440,0.9144999980926514,,0.37261223793029785,
7,444,,0.9375,,0.33514419198036194
7,449,,0.90625,,0.35787683725357056
7,454,,1.0,,0.21362558007240295
7,459,,0.96875,,0.6334808468818665
7,464,,1.0,,0.16787362098693848
7,469,,0.8125,,0.8701117038726807
7,474,,0.875,,0.304197758436203
7,479,,0.96875,,0.133456751704216
7,484,,0.90625,,0.3905813694000244
7,489,,0.90625,,0.4775279760360718
7,494,,0.9375,,0.20064957439899445
7,499,,0.875,,0.33990663290023804
7,503,0.9169999957084656,,0.3481875956058502,
8,504,,0.9375,,0.18491840362548828
8,509,,1.0,,0.19102546572685242
8,514,,0.9375,,0.34780412912368774
8,519,,0.84375,,0.5689405202865601
8,524,,0.90625,,0.5408401489257812
8,529,,0.96875,,0.1628715991973877
8,534,,0.90625,,0.3017289340496063
8,539,,0.96875,,0.16315621137619019
8,544,,0.90625,,0.22391319274902344
8,549,,0.96875,,0.3631964325904846
8,554,,0.9375,,0.5935192108154297
8,559,,0.90625,,0.4202337861061096
8,564,,0.875,,0.3378111720085144
8,566,0.9210000038146973,,0.32430335879325867,
9,569,,1.0,,0.18740305304527283
9,574,,0.90625,,0.28574198484420776
9,579,,0.9375,,0.2765364646911621
9,584,,0.84375,,0.6552443504333496
9,589,,1.0,,0.09331892430782318
9,594,,0.9375,,0.3066330552101135
9,599,,0.84375,,0.30472445487976074
9,604,,0.90625,,0.2635846436023712
9,609,,0.90625,,0.4939245283603668
9,614,,0.96875,,0.1358817219734192
9,619,,0.875,,0.532425045967102
9,624,,0.8125,,0.431585431098938
9,629,,0.9375,,0.16914603114128113
9,629,0.9340000152587891,,0.30930042266845703,
